"Tester la Connexion","Test Connection"
"Toutes les heures","Every hour"
"Toutes les 6 heures","Every 6 hours"
"Deux fois par jour","Twice a day"
"Une fois par jour","Once a day"
"Une fois par semaine","Once a week"
"Test en cours, veuillez patienter...","Test in progress, please wait..."
"Veuillez d'abord remplir le token du bot et l'ID de chat.","Please fill in the bot token and chat ID first."
"Une erreur est survenue lors de la communication avec le serveur.","An error occurred while communicating with the server."
"Le token du bot et l'ID de chat sont requis.","Bot token and chat ID are required."
"Test réussi ! Un message a été envoyé au chat Telegram.","Test successful! A message has been sent to the Telegram chat."
"Erreur: ","Error: "
"Réponse invalide de l'API Telegram.","Invalid response from the Telegram API."
"Erreur Telegram: ","Telegram Error: "
"Exception Telegram: ","Telegram Exception: "
"Scanner de Sécurité Retif","Retif Security Scanner"
"Le module de sécurité a été installé avec succès et est maintenant configuré pour envoyer des notifications à ce chat.","The security module has been successfully installed and is now configured to send notifications to this chat."
"Version du module: ","Module version: "
"Date d'installation: ","Installation date: "
"Vous recevrez des notifications en cas de détection de code malveillant sur votre site Magento.","You will receive notifications if malicious code is detected on your Magento site."
"Test de connexion réussi","Connection test successful"
"Le Scanner de Sécurité Retif est correctement configuré pour envoyer des notifications à ce chat.","The Retif Security Scanner is correctly configured to send notifications to this chat."
"ALERTE DE SÉCURITÉ","SECURITY ALERT"
"Détails des éléments suspects","Details of suspicious elements"
"Recommandations","Recommendations"
"Vérifiez et supprimez tout code malveillant détecté","Check and remove any detected malicious code"
"Mettez à jour vos mots de passe administrateur","Update your administrator passwords"
"Vérifiez les journaux d'accès pour toute activité suspecte","Check access logs for any suspicious activity"
"Assurez-vous que tous les modules et Magento sont à jour","Make sure all modules and Magento are up to date"
"Ce message a été généré automatiquement par le scanner de sécurité Retif. Pour plus d'informations, veuillez consulter les journaux système ou contacter votre administrateur système.","This message was automatically generated by the Retif Security Scanner. For more information, please check the system logs or contact your system administrator."
"Scanner de Sécurité","Security Scanner"
"Configuration Générale","General Configuration"
"Activer le Scanner","Enable Scanner"
"Fréquence de Scan","Scan Frequency"
"À quelle fréquence le scanner doit-il s'exécuter.","How often the scanner should run."
"Notifications par Email","Email Notifications"
"Activer les Notifications par Email","Enable Email Notifications"
"Expéditeur des Emails","Email Sender"
"Destinataires des Emails","Email Recipients"
"Séparez plusieurs adresses email par des virgules.","Separate multiple email addresses with commas."
"Envoyer des Rapports Propres","Send Clean Reports"
"Envoyer un rapport même si aucun code malveillant n'est détecté.","Send a report even if no malicious code is detected."
"Notifications Telegram","Telegram Notifications"
"Activer les Notifications Telegram","Enable Telegram Notifications"
"Token du Bot Telegram","Telegram Bot Token"
"Le token API de votre bot Telegram.","The API token of your Telegram bot."
"ID de Chat Telegram","Telegram Chat ID"
"ID de chat ou IDs séparés par des virgules où le bot doit envoyer les notifications.","Chat ID or comma-separated IDs where the bot should send notifications."
"Tester la connexion Telegram","Test Telegram Connection"
"Modèles de Détection de Code Malveillant","Malicious Code Detection Patterns"
"Modèles Personnalisés","Custom Patterns"
"Ajoutez vos propres expressions régulières pour détecter le code malveillant. Un modèle par ligne.","Add your own regular expressions to detect malicious code. One pattern per line."
"Alerte de Sécurité","Security Alert"
"Rapport de Sécurité Propre","Clean Security Report"
"[SÉCURITÉ] Aucun problème détecté sur","[SECURITY] No issues detected on"
"Nom du magasin","Store name"
"Date du scan","Scan date"
"Rapport de Sécurité","Security Report"
"RAPPORT DE SÉCURITÉ","SECURITY REPORT"
"Le scanner de sécurité Retif a effectué un scan complet de votre site","The Retif Security Scanner has performed a complete scan of your site"
"et n'a détecté aucun code malveillant.","and has not detected any malicious code."
"Résumé du Scan","Scan Summary"
"Date et heure du scan:","Scan date and time:"
"État: Aucun problème détecté","Status: No issues detected"
"Action requise: Aucune","Required action: None"
"Les scans réguliers sont une partie importante de votre stratégie de sécurité.","Regular scans are an important part of your security strategy."
